age	d18O
8136.82	-9.04
8137.17	-9.07
8137.52	-9.05
8137.87	-9.11
8138.22	-9.02
8138.57	-9.01
8138.92	-9
8139.27	-9.04
8139.62	-8.92
8139.97	-8.87
8140.32	-9.01
8140.67	-8.95
8141.02	-8.99
8141.37	-9.1
8141.72	-9.02
8142.07	-8.98
8142.42	-8.95
8142.77	-8.98
8143.12	-8.99
8143.47	-8.99
8143.82	-9.05
8144.17	-9.03
8144.52	-8.87
8144.87	-8.97
8145.22	-8.95
8145.57	-8.92
8145.92	-8.96
8146.27	-8.97
8146.62	-9
8146.97	-8.96
8147.32	-8.92
8147.67	-8.97
8148.02	-8.95
8148.37	-9.04
8148.72	-8.99
8149.07	-9.03
8149.42	-8.92
8149.77	-8.96
8150.12	-8.99
8150.47	-8.97
8150.82	-8.86
8151.17	-8.67
8151.52	-8.88
8151.87	-8.65
8152.22	-8.63
8152.57	-8.61
8152.92	-8.72
8153.27	-8.9
8153.62	-8.73
8153.97	-8.67
8154.32	-8.93
8154.67	-8.9
8155.02	-8.79
8155.37	-8.83
8155.72	-8.87
8156.07	-8.9
8156.42	-8.83
8156.77	-8.9
8157.12	-8.85
8157.47	-8.8
8157.82	-8.89
8158.17	-8.91
8158.52	-8.91
8158.87	-8.91
8159.22	-8.84
8159.57	-8.85
8159.92	-8.57
8160.27	-8.78
8160.62	-8.84
8160.97	-8.92
8161.32	-8.94
8161.67	-9
8162.02	-8.97
8162.37	-8.82
8162.72	-8.62
8163.07	-8.99
8163.42	-8.87
8163.77	-8.87
8164.12	-8.82
8164.47	-8.98
8164.82	-9.1
8165.17	-9.04
8165.52	-9.03
8165.87	-8.97
8166.22	-9.09
8166.57	-8.9
8166.92	-8.76
8167.27	-8.75
8167.62	-8.97
8167.97	-8.94
8168.32	-8.94
8168.67	-8.92
8169.02	-8.96
8169.37	-8.98
8169.72	-9.03
8170.07	-8.92
8170.42	-8.97
8170.77	-8.95
8171.12	-8.94
8171.47	-8.99
8171.82	-8.99
8172.17	-8.97
8172.52	-9
8172.87	-9.06
8173.22	-8.95
8173.57	-9.1
8173.92	-9.1
8174.27	-8.96
8174.62	-9.1
8174.97	-9.04
8175.32	-9.14
8175.67	-9.15
8176.02	-9.14
8176.37	-9.12
8176.72	-9.16
8177.07	-9.15
8177.42	-9.14
8177.77	-9.17
8178.12	-9.15
8178.47	-9.15
8178.82	-9.15
8179.17	-9.14
8179.52	-9.15
8179.87	-9.13
8180.22	-9.08
8180.57	-9.11
8180.92	-9.13
8181.27	-9.05
8181.62	-9.11
8181.97	-9.15
8182.32	-9.08
8182.67	-9.12
8183.02	-9.08
8183.37	-9.05
8183.72	-9.13
8184.07	-9.08
8184.42	-9.13
8184.77	-9.1
8185.12	-9.07
8185.47	-9.15
8185.82	-9.12
8186.17	-9.14
8186.52	-9.13
8186.87	-9.1
8187.22	-9.1
8187.57	-9.1
8187.92	-9.14
8188.27	-9.09
8188.62	-9.11
8188.97	-9.05
8189.32	-9.07
8189.67	-9.04
8190.02	-9.07
8190.37	-9.07
8190.72	-9.1
8191.07	-9.08
8191.42	-9.07
8191.77	-9.13
8192.12	-9.05
8192.47	-9.08
8192.82	-9.07
8193.17	-9.06
8193.52	-9.05
8193.87	-9.02
8194.22	-8.97
8194.57	-9.01
8194.92	-9.02
8195.27	-9.04
8195.62	-9.08
8195.97	-9.04
8196.32	-9.03
8196.67	-9.01
8197.02	-8.98
8197.37	-8.96
8197.72	-8.95
8198.07	-8.95
8198.42	-8.87
8198.77	-8.9
8199.12	-8.92
8199.47	-8.87
8199.82	-8.84
8200.17	-8.85
8200.52	-8.71
8200.87	-8.74
8201.22	-8.66
8201.57	-8.58
8201.92	-8.6
8202.27	-8.55
8202.62	-8.56
8202.97	-8.52
8203.32	-8.5
8203.67	-8.47
8204.02	-8.46
8204.37	-8.47
8204.72	-8.45
8205.07	-8.46
8205.42	-8.41
8205.77	-8.47
8206.12	-8.49
8206.47	-8.43
8206.82	-8.45
8207.17	-8.43
8207.52	-8.49
8207.87	-8.41
8208.22	-8.4
8208.57	-8.49
8208.92	-8.42
8209.27	-8.43
8209.62	-8.53
8209.97	-8.45
8210.32	-8.52
8210.67	-8.47
8211.02	-8.43
8211.37	-8.43
8211.72	-8.39
8212.07	-8.39
8212.42	-8.39
8212.77	-8.39
8213.12	-8.35
8213.47	-8.35
8213.82	-8.43
8214.17	-8.41
8214.52	-8.38
8214.87	-8.44
8215.22	-8.4
8215.57	-8.47
8215.92	-8.43
8216.27	-8.51
8216.62	-8.51
8216.97	-8.62
8217.32	-8.61
8217.67	-8.63
8218.02	-8.68
8218.37	-8.66
8218.72	-8.65
8219.07	-8.61
8219.42	-8.59
8219.77	-8.65
8220.12	-8.74
8220.47	-8.83
8220.82	-8.83
8221.17	-8.91
8221.52	-8.88
8221.87	-8.88
8222.22	-8.84
8222.57	-8.84
8222.92	-8.77
8223.27	-8.72
8223.62	-8.75
8223.97	-8.76
8224.32	-8.83
8224.67	-8.75
8225.02	-8.86
8225.37	-8.87
8225.72	-8.91
8226.07	-8.97
8226.42	-8.96
8226.77	-9.01
8227.12	-9.03
8227.47	-9.06
8227.82	-9.04
8228.17	-9.06
8228.52	-9.04
8228.87	-9.08
8229.22	-9.09
8229.57	-9.13
8229.92	-9.04
8230.27	-9.05
8230.62	-9.07
8230.97	-9.06
8231.32	-9.04
8231.67	-9.01
8232.02	-9.06
8232.37	-9.02
8232.72	-8.96
8233.07	-8.99
8233.42	-9.03
8233.77	-9.05
8234.12	-8.97
8234.47	-8.97
8234.82	-8.95
8235.17	-8.92
8235.52	-8.88
8235.87	-8.89
8236.22	-8.9
8236.57	-8.89
8236.92	-8.89
8237.27	-8.9
8237.62	-8.95
8237.97	-8.92
8238.32	-8.94
8238.67	-8.98
8239.02	-9.05
8239.37	-8.94
8239.72	-8.96
8240.07	-8.97
8240.42	-8.94
8240.77	-8.91
8241.12	-8.89
8241.47	-8.86
8241.82	-8.83
8242.17	-8.8
8242.52	-8.84
8242.87	-8.87
8243.22	-8.91
8243.57	-8.94
8243.92	-8.98
8244.27	-9.01
8244.62	-8.73
8244.97	-8.81
8245.32	-8.71
8245.67	-8.78
8246.02	-8.69
8246.37	-8.81
8246.72	-8.76
8247.07	-8.92
8247.42	-8.74
8247.77	-8.91
8248.12	-8.89
8248.47	-8.84
8248.82	-8.93
8249.17	-8.98
8249.52	-8.81
8249.87	-8.97
8250.22	-8.81
8250.57	-8.85
8250.92	-8.9
8251.27	-8.94
8251.62	-8.9
8251.97	-8.96
8252.32	-8.97
8252.67	-8.71
8253.02	-8.85
8253.37	-8.7
8253.72	-8.98
8254.07	-8.76
8254.42	-8.92
8254.77	-8.89
8255.12	-8.64
8255.47	-8.85
8255.82	-8.84
8256.17	-8.9
8256.52	-8.83
8256.87	-8.78
8257.22	-8.68
8257.57	-8.59
8257.92	-8.71
8258.27	-8.7
8258.62	-8.75
8258.97	-8.73
8259.32	-8.91
8259.67	-8.89
8260.02	-8.71
8260.37	-8.94
8260.72	-8.75
8261.07	-8.65
8261.42	-8.84
8261.77	-8.83
8262.12	-8.78
8262.47	-8.83
8262.82	-8.91
8263.17	-8.92
8263.52	-8.87
8263.87	-8.84
8264.22	-8.78
8264.57	-8.89
8264.92	-8.83
8265.27	-8.74
8265.62	-8.68
8265.97	-8.94
8266.32	-8.95
8266.67	-8.93
8267.02	-8.99
8267.37	-8.95
8267.72	-8.96
8268.07	-8.94
8268.42	-8.89
8268.77	-8.69
8269.12	-8.86
8269.47	-8.79
8269.82	-8.7
8270.17	-8.85
8270.52	-8.74
8270.87	-8.75
8271.22	-8.76
8271.57	-8.71
8271.92	-8.7
8272.27	-8.72
8272.62	-8.85
8272.97	-8.66
8273.32	-8.68
8273.67	-8.71
8274.02	-8.59
8274.37	-8.5
8274.72	-8.46
8275.07	-8.73
8275.42	-8.69
8275.77	-8.75
8276.12	-8.74
8276.47	-8.72
8276.82	-8.76
8277.17	-8.63
8277.52	-8.77
8277.87	-8.58
8278.22	-8.86
8278.57	-8.68
8278.92	-8.94
